"","Bias.Coef..mean.","Bias.Coef..sd.","Width..mean.","Width..sd.","MSE..mean.","MSE..sd.","Coverage","it..mean.","it..sd.","miss","actual_missing..mean.","actual_missing..sd.","dist","mp","m","k","tail","hmi","pmass","std","method"
"1",0.00466716698790375,0.938319036506596,0.0592504353069575,0.00101791555144978,0.675301325142793,0.0223920302406072,0.998,5,0,0.1,0.100094666666667,0.00548220701704868,"norm","MCAR",5,1,"left","False",0.2,0.0151151847111266,"pmm"
"2",0.00101862679227018,0.966819602456787,0.0591671990630556,0.0009824237766124,0.67395579796683,0.0220795216694394,0.996,10,0,0.1,0.099854,0.00528782832970629,"norm","MCAR",10,1,"left","False",0.2,0.0150939505852552,"pmm"
"3",0.0435910387157655,1.00002741386198,0.0591161602199101,0.000985314797681183,0.673275323810173,0.0226155192784048,1,25,0,0.1,0.100142,0.00556090044667029,"norm","MCAR",25,1,"left","False",0.2,0.0150809302329562,"pmm"
"4",0.0967796238830795,0.924829940319061,0.0592354945955312,0.000896789636629293,0.676208440803537,0.0206307720084865,0.998,40,0,0.1,0.0999513333333334,0.00522928382604476,"norm","MCAR",40,1,"left","False",0.2,0.0151113732351141,"pmm"
"5",0.0316988447451465,0.878066301538671,0.0592463392063942,0.000931736310848968,0.675102701245378,0.0202341435878354,1,5,0,0.1,0.099984,0.0056782401029427,"norm","MCAR",5,3,"left","False",0.2,0.0151141397683127,"pmm"
"6",-0.0911349384115061,0.91423612552965,0.0592231521028792,0.000979470601514411,0.675024463149105,0.0218811742373917,1,10,0,0.1,0.099928,0.00534213174262443,"norm","MCAR",10,3,"left","False",0.2,0.0151082245821923,"pmm"
"7",0.0131371837825958,0.961732927308462,0.0591455785691496,0.000980789713213141,0.673711090556472,0.0223834427862287,0.998,25,0,0.1,0.100240666666667,0.00526557706028293,"norm","MCAR",25,3,"left","False",0.2,0.0150884350517873,"pmm"
"8",-0.0394008876046222,0.941765873414327,0.0591910645527172,0.000987325451410764,0.674968639430581,0.0226541171745455,0.994,40,0,0.1,0.0997346666666667,0.00544804127900824,"norm","MCAR",40,3,"left","False",0.2,0.0151000388322461,"pmm"
"9",-0.063408307681568,0.972472018296816,0.0593211931980327,0.000935337600591766,0.676499931171632,0.0207366453648775,0.998,5,0,0.1,0.099954,0.00524106600691967,"norm","MCAR",5,5,"left","False",0.2,0.0151332355252317,"pmm"
"10",-0.0435762151529053,0.933907779982705,0.0592639490497229,0.000926508378628979,0.675954518314009,0.0210625245024605,0.998,10,0,0.1,0.100196,0.00507795076778025,"norm","MCAR",10,5,"left","False",0.2,0.0151186321578329,"pmm"
